task_display,task,strategy,seed,n_dev,n_test,include_current,val_micro_f1,val_macro_f1,test_micro_f1,test_macro_f1,test_micro_p,test_micro_r,model_path
forecast-transition,forecast_change_subset,text_plus_vadbert_global,105,13505,12812,False,0.6913100328656748,0.6705783847393507,0.6899744290626929,0.6668338563496635,0.5622485150411957,0.8927892294820111,finetuned_bert_tiny_forecast_change_subset_text_plus_vadbert_global_seed105.pt
forecast-transition,forecast_change_subset,text_plus_vadbert_emoflow,12,13505,12812,False,0.6832979833686833,0.6691277228651569,0.6877840828886819,0.6700674497296737,0.5468707910568376,0.9265231611774548,finetuned_bert_tiny_forecast_change_subset_text_plus_vadbert_emoflow_seed12.pt
forecast-transition,forecast_change_subset,text_plus_vadbert_emoflow,24,13505,12812,False,0.6874260938115885,0.672902385651152,0.6872640503909285,0.6720716070252426,0.5382883610707169,0.9502548109834944,finetuned_bert_tiny_forecast_change_subset_text_plus_vadbert_emoflow_seed24.pt
forecast-transition,forecast_change_subset,text_plus_vadbert_emoflow,42,13505,12812,False,0.6883352582082165,0.6740692472395386,0.6883074689800573,0.672540140955273,0.5407104923053532,0.9467368981516696,finetuned_bert_tiny_forecast_change_subset_text_plus_vadbert_emoflow_seed42.pt
forecast-transition,forecast_change_subset,text_plus_vadbert_emoflow,73,13505,12812,False,0.6973453758714242,0.6805918771832118,0.6886783013878764,0.6696375392108063,0.5516728113764914,0.9162166273674602,finetuned_bert_tiny_forecast_change_subset_text_plus_vadbert_emoflow_seed73.pt
forecast-transition,forecast_change_subset,text_plus_vadbert_emoflow,105,13505,12812,False,0.6880296428448897,0.6698748503181398,0.6902771915013367,0.6728233681102891,0.5478157941754511,0.9328744200197764,finetuned_bert_tiny_forecast_change_subset_text_plus_vadbert_emoflow_seed105.pt
forecast-transition,forecast_change_subset,text_plus_all_affective,12,13505,12812,False,0.6881311798444703,0.6703527844695216,0.6888740935867189,0.6699193588062957,0.5560553309811436,0.9050543850308056,finetuned_bert_tiny_forecast_change_subset_text_plus_all_affective_seed12.pt
forecast-transition,forecast_change_subset,text_plus_all_affective,24,13505,12812,False,0.6883730211520553,0.6728843549805231,0.6874566104801311,0.6709276261129284,0.5413750874737578,0.9415075682665248,finetuned_bert_tiny_forecast_change_subset_text_plus_all_affective_seed24.pt
forecast-transition,forecast_change_subset,text_plus_all_affective,42,13505,12812,False,0.6912883351116924,0.6735914885627091,0.6905106588322121,0.6719338196336997,0.5508106149805271,0.9251540275347988,finetuned_bert_tiny_forecast_change_subset_text_plus_all_affective_seed42.pt
forecast-transition,forecast_change_subset,text_plus_all_affective,73,13505,12812,False,0.6953903173500116,0.6813056788409038,0.6876740802327999,0.6709192718409254,0.5409299993459921,0.9436753632007302,finetuned_bert_tiny_forecast_change_subset_text_plus_all_affective_seed73.pt
forecast-transition,forecast_change_subset,text_plus_all_affective,105,13505,12812,False,0.689555624291164,0.6713547028822242,0.6904984412564116,0.6709858702212163,0.5525351356905548,0.9202859968053548,finetuned_bert_tiny_forecast_change_subset_text_plus_all_affective_seed105.pt
